100, 200, 300, 400, 500, 600
50.0, 40.0, 37.0, 20.0, 15.0, 0.0
0.0, 0.0, 0.0, 1.0, 11.0, 14.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 10.0, 13.0, 29.0, 24.0, 36.0
0, 3, 3, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 0, 0, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 0, 0, 0, 3, 1
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 3, 1
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 3, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 3, 1, 1
0, 3, 3, 3, 3, 3
0, 0, 0, 3, 1, 1
0, 0, 3, 3, 3, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 1, 1
0, 0, 3, 3, 3, 3
0, 0, 0, 0, 3, 1
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 3, 3, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 3, 3, 3, 3, 3
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 1, 1
0, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 3
0, 0, 3, 1, 1, 1
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 3
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 3, 3
0, 0, 0, 3, 1, 1
0, 0, 0, 3, 3, 3
0, 0, 0, 0, 0, 3
