Sample	Strain	Treatment	Replicate	Time	CP020102	CP020103
1B3_200	B	1	3	200	304.356	211.4182
1B5_600	B	1	5	600	142.8966	172.8684
1B4_600	B	1	4	600	126.1739	95.68266
0S2_200	S	0	2	200	328.8577	326.7846
0S3_200	S	0	3	200	97.08193	85.16498
1S5_500	S	1	5	500	58.01225	190.616
1S4_500	S	1	4	500	63.04633	105.1744
0B2_100	B	0	2	100	215.8569	357.857
0B3_100	B	0	3	100	166.2035	287.4433
1B3_700	B	1	3	700	110.8588	145.9508
1B2_700	B	1	2	700	178.7838	214.6182
2S1_200	S	2	1	200	94.55878	80.61701
0S4_300	S	0	4	300	851.7517	373.5931
0S5_300	S	0	5	300	90.13488	31.22984
1S3_400	S	1	3	400	125.995	129.4884
1S2_400	S	1	2	400	149.0626	79.24609
2B1_100	B	2	1	100	380.37	330.0689
0B3_400	B	0	3	400	82.94599	81.50092
0B2_400	B	0	2	400	15.20475	12.63828
0B3_1000	B	0	3	1000	168.1447	54.28251
0S3_700	S	0	3	700	304.5284	81.47096
0S2_700	S	0	2	700	449.9251	212.3477
0B2_800	B	0	2	800	174.5208	142.9948
1B4_300	B	1	4	300	371.5375	409.194
0B3_800	B	0	3	800	127.2706	27.82781
1B5_300	B	1	5	300	285.7285	299.7588
0S1_400	S	0	1	400	81.45801	63.52542
2S5_500	S	2	5	500	11.41497	9.756848
2S4_500	S	2	4	500	43.37012	9.712617
2B5_600	B	2	5	600	54.27069	34.9499
2B4_600	B	2	4	600	53.96829	35.67202
0B1_700	B	0	1	700	134.3048	1.206543
1S1_700	S	1	1	700	112.4918	187.2616
2B2_200	B	2	2	200	139.2735	108.3247
2B3_200	B	2	3	200	58.17473	69.0216
1B1_800	B	1	1	800	150.5911	235.2367
1B1_400	B	1	1	400	95.34193	34.15914
2S2_100	S	2	2	100	143.4988	134.0124
2S3_100	S	2	3	100	48.25587	68.06013
0B1_500	B	0	1	500	133.53	1.21545
2B5_400	B	2	5	400	405.8101	374.1926
2B4_400	B	2	4	400	188.7953	149.124
2B4_800	B	2	4	800	244.4422	239.9846
2B5_800	B	2	5	800	61.47866	100.2136
0B1_900	B	0	1	900	172.7521	1.549711
0B5_1000	B	0	5	1000	153.143	155.4491
0S1_600	S	0	1	600	148.3857	129.338
2S2_300	S	2	2	300	98.6663	1.288085
2S3_300	S	2	3	300	86.49513	52.15139
1B1_600	B	1	1	600	114.0533	158.503
1S1_500	S	1	1	500	52.45692	125.4413
2B1_300	B	2	1	300	274.8246	191.9071
0B4_200	B	0	4	200	69.70899	27.13724
1B2_900	B	1	2	900	100.112	100.6327
0B5_200	B	0	5	200	81.5424	31.27112
1B3_900	B	1	3	900	105.5077	87.72474
1S3_600	S	1	3	600	130.3287	169.6822
1S2_600	S	1	2	600	132.8481	64.42567
0S4_100	S	0	4	100	196.1803	284.2406
0S5_100	S	0	5	100	249.9382	322.7685
1B3_500	B	1	3	500	195.7145	408.1426
1B4_100	B	1	4	100	304.8837	229.8647
1B5_100	B	1	5	100	388.5837	316.8304
0S3_500	S	0	3	500	145.0707	91.59678
0S2_500	S	0	2	500	87.93552	21.90563
1S4_200	S	1	4	200	141.9549	165.8308
1S5_200	S	1	5	200	138.0547	135.718
1B1_1000	B	1	1	1000	126.816	113.6704
0B3_600	B	0	3	600	213.6407	33.17594
0B2_600	B	0	2	600	27.98829	19.19288
2B2_400	B	2	2	400	247.3392	162.4593
2B3_400	B	2	3	400	140.3688	141.2852
2B1_1000	B	2	1	1000	65.96252	88.31218
1S1_100	S	1	1	100	68.90527	138.0692
2S2_700	S	2	2	700	1.355297	1.408435
2B3_800	B	2	3	800	221.9191	196.5541
2B2_800	B	2	2	800	160.9438	68.77875
1B1_200	B	1	1	200	148.3497	38.97711
0B2_1000	B	0	2	1000	141.7068	185.6422
2S5_300	S	2	5	300	127.2212	82.62919
2S4_300	S	2	4	300	118.7348	115.0573
0S1_200	S	0	1	200	77.89635	70.34229
0B1_100	B	0	1	100	660.2337	1119.121
1S4_600	S	1	4	600	125.3441	115.3126
1S5_600	S	1	5	600	57.2111	122.9191
