Sample	Strain	Treatment	Replicate	Time	bPTR
Sample_0B2_700	B	0	2	700	0.8614735527517468
Sample_2B4_800	B	2	4	800	1.1157750424071637
Sample_0S1_100	S	0	1	100	1.3162646638349695
Sample_2S3_500	S	2	3	500	0.604388776492161
Sample_2S4_500	S	2	4	500	0.4050970434408223
Sample_0B4_1000	B	0	4	1000	1.1382451376036224
Sample_1S1_400	S	1	1	400	0.44130947131939235
Sample_0S4_200	S	0	4	200	0.5320554709273144
Sample_1B2_200	B	1	2	200	1.685358815897575
Sample_1B1_900	B	1	1	900	1.0914169191013168
Sample_2S1_600	S	2	1	600	0.9151533751264261
Sample_0S3_200	S	0	3	200	0.9464293511960383
Sample_1B5_200	B	1	5	200	0.4411565246133333
Sample_2B1_500	B	2	1	500	0.29881277531935935
Sample_0B3_100	B	0	3	100	1.8283717976304026
Sample_1S5_100	S	1	5	100	1.2963050851904592
Sample_0B4_100	B	0	4	100	1.9076153630465391
Sample_1S2_100	S	1	2	100	0.8351022725350472
Sample_1B1_700	B	1	1	700	1.3383401618348199
Sample_2S5_300	S	2	5	300	0.6907492093103212
Sample_2B3_1000	B	2	3	1000	0.826587275904472
Sample_2S2_300	S	2	2	300	1.143064038918955
Sample_2B4_600	B	2	4	600	0.6767433117059564
Sample_0B1_200	B	0	1	200	0.5761849161900624
Sample_2B3_600	B	2	3	600	0.8628362338154798
Sample_0B5_900	B	0	5	900	1.0852353657942964
Sample_1B4_400	B	1	4	400	0.7647915474666772
Sample_0S2_400	S	0	2	400	0.8477030702944536
Sample_1B3_400	B	1	3	400	0.8714617002319027
Sample_0S5_400	S	0	5	400	0.6543878215150383
Sample_0S4_100	S	0	4	100	1.6253424529673404
Sample_1B2_100	B	1	2	100	1.1192431419066227
Sample_2S1_500	S	2	1	500	0.7755157216118328
Sample_0B1_1000	B	0	1	1000	1.1170718441852678
Sample_0S3_100	S	0	3	100	1.8500853354141193
Sample_1B5_100	B	1	5	100	0.8632548300138659
Sample_2B2_300	B	2	2	300	0.8635358197493525
Sample_1S1_700	S	1	1	700	1.5209830048417206
Sample_2B1_800	B	2	1	800	0.7491495666597159
Sample_2B5_300	B	2	5	300	0.9059081705400013
Sample_0S1_200	S	0	1	200	1.0009276295507894
Sample_1B3_900	B	1	3	900	0.861407426956843
Sample_2S3_600	S	2	3	600	0.4232016068408699
Sample_0B5_1000	B	0	5	1000	0.9130298139709743
Sample_1B4_900	B	1	4	900	1.2147194112235506
Sample_2S4_600	S	2	4	600	0.7290049066889599
Sample_1S3_400	S	1	3	400	0.9408998991567005
Sample_0B5_400	B	0	5	400	1.3739067327066976
Sample_1S4_400	S	1	4	400	1.112253961970036
Sample_0B2_400	B	0	2	400	0.8822708171097031
Sample_2B2_600	B	2	2	600	0.6895770592858848
Sample_0B4_900	B	0	4	900	1.3670398924620892
Sample_0B2_1000	B	0	2	1000	1.2801259809438499
Sample_2B5_600	B	2	5	600	0.6837147432779302
Sample_0B3_900	B	0	3	900	0.6066012742580381
Sample_1S1_200	S	1	1	200	0.37523600615739505
Sample_0S4_400	S	0	4	400	0.4120585694995804
Sample_1B2_400	B	1	2	400	0.6350293085579665
Sample_0S3_400	S	0	3	400	0.6520436444535943
Sample_1B5_400	B	1	5	400	1.0577823994168167
Sample_1S3_100	S	1	3	100	1.3959183812133977
Sample_0B5_100	B	0	5	100	1.8806734952516253
Sample_1S4_100	S	1	4	100	1.172346337130056
Sample_0B2_100	B	0	2	100	1.82427764055133
Sample_2S3_300	S	2	3	300	0.6082964233523103
Sample_0S1_700	S	0	1	700	1.0397062558349992
Sample_2S4_300	S	2	4	300	1.0304897985874963
Sample_1B5_900	B	1	5	900	0.8373207152771508
Sample_2S5_600	S	2	5	600	0.5545058938916189
Sample_1B1_200	B	1	1	200	0.4344043164617757
Sample_1B2_900	B	1	2	900	0.9693411948201608
Sample_2S2_600	S	2	2	600	1.1088533030970023
Sample_0B3_400	B	0	3	400	1.082475255373294
Sample_1S5_400	S	1	5	400	1.0959185314542077
Sample_0B4_400	B	0	4	400	1.2510014517112722
Sample_1S2_400	S	1	2	400	0.32773841913713325
Sample_1B4_100	B	1	4	100	0.8526148086545237
Sample_0S2_100	S	0	2	100	1.7636496078856816
Sample_1B3_100	B	1	3	100	0.9696859459881226
Sample_0S5_100	S	0	5	100	1.364727375341147
Sample_2B4_300	B	2	4	300	0.5937527248099144
Sample_2B4_1000	B	2	4	1000	0.998617290220019
Sample_2B3_300	B	2	3	300	0.8966811664585844
Sample_0B1_700	B	0	1	700	0.9846987294859678
Sample_2B4_400	B	2	4	400	0.8290999069539169
Sample_2B3_400	B	2	3	400	1.1555933204841045
Sample_1B2_1000	B	1	2	1000	1.1004909358964452
Sample_0S2_600	S	0	2	600	0.3790300428925458
Sample_1B4_600	B	1	4	600	0.8288445681654022
Sample_0S5_600	S	0	5	600	1.1339272785859507
Sample_1B3_600	B	1	3	600	1.1096137418564684
Sample_2B1_700	B	2	1	700	0.827682703028031
Sample_1S5_300	S	1	5	300	1.1731754612593885
Sample_0B3_300	B	0	3	300	1.3289008824791104
Sample_1S2_300	S	1	2	300	0.8431372549019606
Sample_0B4_300	B	0	4	300	2.0655543884243803
Sample_1B1_500	B	1	1	500	1.127400289140232
Sample_2S5_100	S	2	5	100	1.122530647683454
Sample_2S2_100	S	2	2	100	0.9441780110581027
Sample_2S3_400	S	2	3	400	0.7964542228410371
Sample_2S4_400	S	2	4	400	0.8095411298504884
Sample_0B5_600	B	0	5	600	0.8003722432431619
Sample_1S3_600	S	1	3	600	1.1668596250127037
Sample_2B3_900	B	2	3	900	1.0116537864540127
Sample_0B2_600	B	0	2	600	0.6789625058829682
Sample_1S4_600	S	1	4	600	0.8227443768131553
Sample_2B4_900	B	2	4	900	1.0572271421916841
Sample_1B2_300	B	1	2	300	0.6546558076723499
Sample_0S4_300	S	0	4	300	0.4998490911545773
Sample_1B1_800	B	1	1	800	1.6643369972679314
Sample_2S1_700	S	2	1	700	0.7439632324095717
Sample_1B5_300	B	1	5	300	1.1194275263376319
Sample_0S3_300	S	0	3	300	0.5682448950533434
Sample_2B2_100	B	2	2	100	0.9405270686473876
Sample_1S1_500	S	1	1	500	2.4162141956336214
Sample_2B5_100	B	2	5	100	0.9416549455994231
Sample_0B5_300	B	0	5	300	1.634490617123111
Sample_1S3_300	S	1	3	300	0.529693889786037
Sample_0B1_800	B	0	1	800	1.0803967299461743
Sample_0B2_300	B	0	2	300	1.7737249883993982
Sample_1S4_300	S	1	4	300	0.9249797766251778
Sample_2S3_100	S	2	3	100	1.2470946411048782
Sample_0S1_500	S	0	1	500	1.0423381948188282
Sample_2S4_100	S	2	4	100	0.5006587556994097
Sample_2B2_400	B	2	2	400	0.6781798764305657
Sample_2B5_400	B	2	5	400	1.0046145894676486
Sample_1B2_600	B	1	2	600	0.9127385467461319
Sample_0S4_600	S	0	4	600	0.9305430434274977
Sample_1B5_600	B	1	5	600	1.2350036720348312
Sample_0S3_600	S	0	3	600	0.970895643351564
Sample_2S1_200	S	2	1	200	0.873993092457656
Sample_0S2_300	S	0	2	300	0.9637830485281899
Sample_1B4_300	B	1	4	300	1.2510486016033588
Sample_0S5_300	S	0	5	300	0.3926496200215845
