Day	Flask	Rep	Concentration	WT	spoA
80	1	2	-4	179	12
80	1	1	-5	28	2
80	1	2	-5	33	4
80	2	1	-3	TMTC	TMTC
80	2	2	-3	TMTC	TMTC
80	2	1	-4	TMTC	15
80	2	2	-4	TMTC	16
80	2	1	-5	42	3
80	2	2	-5	49	4
80	3	1	-3	TMTC	TMTC
80	3	2	-3	TMTC	TMTC
80	3	1	-4	TMTC	TMTC
80	3	2	-4	TMTC	TMTC
80	3	1	-5	80	58
80	3	2	-5	86	47
90	1	1	-3	TMTC	17
90	1	2	-3	TMTC	19
90	1	1	-4	170	25
90	1	2	-4	178	10
90	1	1	-5	20	0
90	1	2	-5	24	3
90	2	1	-3	TMTC	2
90	2	2	-3	TMTC	1
90	2	1	-4	186	11
90	2	2	-4	218	5
90	2	1	-5	23	1
90	2	2	-5	21	3
90	3	1	-3	TMTC	TMTC
90	3	2	-3	TMTC	TMTC
90	3	1	-4	TMTC	26
90	3	2	-4	TMTC	13
90	3	1	-5	105	10
90	3	2	-5	84	12
100	1	1	-3	TMTC	3
100	1	2	-3	TMTC	3
100	1	3	-3	TMTC	2
100	1	1	-4	249	4
100	1	2	-4	191	2
100	1	3	-4	223	9
100	1	1	-5	38	1
100	1	2	-5	46	1
100	1	3	-5	32	0
100	2	1	-3	TMTC	6
100	2	2	-3	TMTC	2
100	2	3	-3	TMTC	3
100	2	1	-4	240	5
100	2	2	-4	255	3
100	2	3	-4	228	5
100	2	1	-5	44	2
100	2	2	-5	44	1
100	2	3	-5	42	1
100	3	1	-3	TMTC	2
100	3	2	-3	TMTC	1
100	3	3	-3	TMTC	1
100	3	1	-4	TMTC	1
100	3	2	-4	TMTC	2
100	3	3	-4	TMTC	2
100	3	1	-5	141	5
100	3	2	-5	123	6
100	3	3	-5	115	3
